Title,Location,Price,Area,Number of rooms
Apartment Tempeliersstraat,2012 EC Haarlem (Koninginnebuurt),"€1,350",45 m²,2
Apartment Lijnmarkt,"3511 KH Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,225",45 m²,2
Apartment Oudegracht,"3511 NS Utrecht (Domplein, Neude, Janskerkhof)","€1,125",36 m²,2
Room Ossenweerdstraat,7412 BJ Deventer (Lange Zandstraat),€395,13 m²,1
Apartment Nieuwe Osdorpergracht 586,1068 HV Amsterdam (Osdorp-Oost),"€1,400",50 m²,1
Apartment Van der Hoevenplein,3072 MK Rotterdam (Kop van Zuid),"€2,750",100 m²,1
Apartment Van Embdenstraat,2628 ZP Delft (Bedrijventerrein Delftech),"€1,105",57 m²,2
Studio Jan Haringstraat,3554 XV Utrecht (Geuzenwijk),€725,15 m²,1
House Wormerweg,1464 NC Westbeemster (Westbeemster),€950,55 m²,2
Apartment Glenn Millerstraat 60,2625 WM Delft (Juniusbuurt),"€1,375",75 m²,3
Apartment Piet Heinstraat 9,2628 RH Delft (TU-Noord),"€1,495",101 m²,3
Apartment Herenstraat,3512 KB Utrecht (Nieuwegracht-Oost),"€2,195",120 m²,3
Apartment Achter St.-Pieter,"3512 HP Utrecht (Domplein, Neude, Janskerkhof)","€1,150",45 m²,2
Room Vaartweg 139 5,1217 SN Hilversum (Boomberg),€705,40 m²,2
Apartment Gedempte Zalmhaven,3011 BT Rotterdam (Stadsdriehoek),"€1,995",117 m²,5
Apartment Emmastraat,4811 AE Breda (Station),"€1,249",65 m²,2
Apartment Burgersdijkstraat 46,2522 WE Den Haag (Laakkwartier-Oost),"€1,007",72 m²,3
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
Apartment Joris Ivenslaan,1325 LZ Almere (Filmwijk),"€1,395",78 m²,2
House Plantijndomein,6229 GG Maastricht (Randwyck),"€1,150",115 m²,4
Apartment Oudegracht,3511 NK Utrecht (Springweg en omgeving Geertebuurt),"€1,775",90 m²,3
House Basilicumweg,1314 KA Almere (Kruidenwijk),"€1,450",95 m²,4
Apartment Spinnewiel,1251 DA Laren (Laren-Centrum),"€1,595",60 m²,2
Apartment Brinkweg,1211 RP Hilversum (Centrum),"€1,200",67 m²,2
House Wijdaustraat,4337 VG Middelburg (Dauwendaele I),"€1,295",112 m²,5
Studio Catharijnesteeg 7,3841 AP Harderwijk (Binnenstad-Zuid),"€1,025",36 m²,1
Apartment Marijkestraat,2202 TW Noordwijk (Prinsessenbuurt),€725,43 m²,3
Apartment Mary van der Sluisstraat 284 *,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"€2,750",88 m²,3
House Binnenpad,8355 BP Giethoorn (Giethoorn-Zuid),"€1,495",90 m²,4
Apartment Mijnsherenlaan 145 C,3081 GK Rotterdam (Tarwewijk),€895,72 m²,4
House Helsinkipad,3067 RP Rotterdam (Oosterflank),"€1,450",120 m²,5
Apartment Nieuwe Uitleg,2514 BP Den Haag (Voorhout),"€2,000",120 m²,3
Apartment Stoeldraaierstraat,9712 BW Groningen (Binnenstad-Noord),€827,55 m²,1
Apartment Duindoornstraat,9741 NM Groningen (Selwerd),€950,61 m²,3
Apartment Willem Hubertstraat,5213 SV Den Bosch (De Hinthamerpoort),"€1,070",55 m²,2
Apartment Raadhuisstraat,4701 PN Roosendaal (Centrum-Oud),€800,45 m²,2
Apartment Rivium 1e straat,2909 LE Capelle aan den IJssel (Rivium 1e straat),€799,48 m²,2
Apartment Rivium 1e straat,2909 LE Capelle aan den IJssel (Rivium 1e straat),€737,38 m²,1
Apartment Galvanistraat,3029 AD Rotterdam (Nieuw Mathenesse),"€1,675",127 m²,4
Apartment Oostendamstraat 163 A,3073 NG Rotterdam (Bloemhof),"€1,500",120 m²,3
House Krabsteeg,4201 ES Gorinchem (Benedenstad),"€1,750",98 m²,3
House Vlaardingerdijk 325 A,3117 ET Schiedam (Schildersbuurt),"€1,450",100 m²,4
Apartment Dirigentplein,5642 RK Eindhoven (Tongelresche Akkers),"€1,295",60 m²,2
Apartment Houtlaan,6525 ZA Nijmegen (Brakkenstein),"€1,100",59 m²,2
House Comopad,5632 RX Eindhoven (Heesterakker),"€1,795",126 m²,5
Studio Driebergenstraat,2546 BA Den Haag (Leyenburg),€895,30 m²,1
Apartment 't Landje 20,1674 PV Opperdoes (Opperdoes Centrum),"€1,050",54 m²,3
Apartment 't Landje 30,1674 PV Opperdoes (Opperdoes Centrum),"€1,050",54 m²,3
House Jaagpad,1059 BN Amsterdam (Hoofddorppleinbuurt),"€3,600",160 m²,3
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
Apartment 't Landje 36,1674 PV Opperdoes (Opperdoes Centrum),€900,54 m²,2
Apartment 't Landje 56,1674 PV Opperdoes (Opperdoes Centrum),€900,42 m²,2
Apartment Ariaplein,3816 EH Amersfoort (Schuilenburg-Noord),€950,62 m²,2
Apartment Amsterdamseweg,6814 GA Arnhem (Burgemeesterswijk),€560,23 m²,1
Apartment Prins Hendrikstraat,5611 HL Eindhoven (Bergen),"€1,345",70 m²,2
Apartment A.H.G. Fokkerstraat 52,3555 BE Utrecht (Prins Bernhardplein en omgeving),€985,45 m²,2
Apartment Zamenhofdreef 12 A,3562 JW Utrecht (Zamenhofdreef en omgeving),€895,45 m²,2
Studio Pijnboomstraat,5038 HG Tilburg (Bomenbuurt Midden),€645,26 m²,1
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"€1,553",95 m²,4
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"€1,478",98 m²,4
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"€1,690",116 m²,5
Apartment Martinus Nijhoffweg,2548 ER Den Haag (Erasmus Veld),€975,42 m²,2
Apartment Nieuwe Hescheweg,5342 EA Oss (Oranjebuurt I en Ruivert),€795,71 m²,3
Apartment Withuysstraat 84,2523 GZ Den Haag (Laakkwartier-West),"€1,550",92 m²,4
Apartment Graaf Balderikstraat,3032 HC Rotterdam (Oude Noorden),"€1,650",83 m²,3
Apartment Hendrik Mandestraat,2531 TV Den Haag (Moerwijk-Noord),"€1,075",70 m²,4
House Klepstraat,2516 XB Den Haag (Noordpolderbuurt),"€1,075",70 m²,4
Apartment Wenckebachstraat,2522 CH Den Haag (Noordpolderbuurt),€700,45 m²,1
House Bellendonkplein,7411 ZT Deventer (Knutteldorp),"€1,395",120 m²,5
House Geert Grootelaan,7607 NR Almelo (Hofkamp Oost),"€1,050",110 m²,3
Apartment Kranenburgweg 110,2583 EP Den Haag (Vissershaven),"€1,295",74 m²,3
Apartment Stratumsedijk,5611 NA Eindhoven (Binnenstad),"€1,550",87 m²,3
Apartment Jan Luikenstraat,5615 JM Eindhoven (Schrijversbuurt),"€2,500",146 m²,5
Apartment Langestraat,5038 SB Tilburg (Binnenstad West),€895,37 m²,2
Apartment Raadhuisstraat,2406 AH Alphen aan den Rijn (Van Boetzelaerstraat),€910,56 m²,2
Apartment Overrijn,2315 KA Leiden (De Waard),"€1,300",55 m²,2
Studio Plakstraat,6131 HT Sittard (Sittard-Centrum),€710,32 m²,1
Apartment Henri Polaklaan,1018 CP Amsterdam (Weesperbuurt/Plantage),"€2,150",65 m²,3
Apartment Lasserstraat,2321 PR Leiden (Haagweg-Zuid),"€1,395",95 m²,4
Apartment 2e Schuytstraat,2517 XD Den Haag (Sweelinckplein en omgeving),"€1,100",40 m²,2
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
Apartment Van Diemenstraat,2518 VG Den Haag (Zeeheldenkwartier),"€1,300",60 m²,3
Apartment Breestraat 123 B,2311 CM Leiden (Pieterswijk),"€1,750",123 m²,2
Apartment Tiengemeten,1181 CT Amstelveen (Randwijck Oost),"€1,749",85 m²,3
Apartment Frederiksplein 40 B,1017 XN Amsterdam (De Weteringschans),"€3,400",125 m²,3
Apartment Korte Noordstraat,4331 CG Middelburg (Stadhuis),€650,35 m²,1
Apartment Oude Kerkstraat,6412 XJ Heerlen (Schandelen),€725,85 m²,5
Apartment Wilhelminastraat 8 y,5141 HK Waalwijk (Centrum),€740,47 m²,2
Apartment Hereweg 28 a,9725 AD Groningen (Herewegbuurt),"€1,500",97 m²,3
Apartment Engelandlaan,2034 HH Haarlem (Stedenbuurt-west),"€1,195",85 m²,3
Apartment Oude Boomgaardstraat 5,2513 TN Den Haag (Kortenbos),"€1,250",71 m²,3
Apartment Maassluisstraat,1062 GS Amsterdam (Westlandgracht),"€1,550",42 m²,1
Apartment Belvédèrebos,2715 VL Zoetermeer (Meerzicht-Oost),"€1,325",90 m²,3
Apartment Oudedijk,3061 AN Rotterdam (Kralingen West),"€1,195",55 m²,2
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),€725,30 m²,1
Studio Strobloemstraat,5643 JW Eindhoven (Kruidenbuurt),€795,35 m²,2
Apartment Watervlierstraat 39,2563 PV Den Haag (Heesterbuurt),"€1,295",66 m²,3
Apartment Abdijtuinen,5504 EW Veldhoven (D'Ekker),"€1,850",149 m²,4
Apartment Stationsplein 48,2312 AK Leiden (Stationskwartier),"€1,150",78 m²,3
Apartment Lombardkade,3031 AG Rotterdam (Rubroek),"€1,495",79 m²,3
House Dadelstraat,3572 TE Utrecht (Wittevrouwen),"€1,695",68 m²,3
Apartment Seffenterstraat,6291 GB Vaals (Vaals),€760,80 m²,3
Studio Rabenhauptstraat 24,9725 CD Groningen (Rivierenbuurt),€615,30 m²,1
House Barmsijs,3435 BP Nieuwegein (Doorslag-Oost),"€1,650",116 m²,5
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),€265,15 m²,1
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),€285,18 m²,1
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),€240,12 m²,1
Apartment Krugerstraat 11 B,3531 AL Utrecht (Leidseweg en omgeving),"€2,095",136 m²,4
Apartment Vondelstraat 78,7002 AS Doetinchem (Schrijvers en dichtersbuurt),"€1,200",70 m²,3
Apartment Endepoel 2 c,6852 LG Huissen (Zilverkamp),"€1,095",75 m²,3
House Nicolaas Beetsstraat,8862 WK Harlingen (Oosterpark),€900,121 m²,4
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
House Nelson Mandelastraat,7557 XG Hengelo ('t Rot),"€1,030",118 m²,5
Apartment Sir Winston Churchillln 283 F36,2288 DA Rijswijk (Plaspoelpolder),"€2,200",210 m²,4
Apartment Valkenboskade 530,2563 JM Den Haag (Bloemenbuurt-Oost),"€1,750",104 m²,4
Apartment Langenhorst,3085 HE Rotterdam (Zuidwijk),"€1,475",70 m²,3
House 't Buske,5071 VS Udenhout (Zeshoeven),"€1,100",104 m²,5
Apartment Europalaan 104,7543 DH Enschede (Boswinkel-De Braker),€995,65 m²,3
Room Espoortstraat 163 Kamer C,7511 CJ Enschede (De Bothoven),€450,15 m²,1
Apartment Mandelborg,6228 CP Maastricht (De Heeg),€975,91 m²,3
Apartment Franklinstraat 171 A,2562 CD Den Haag (Koningsplein en omgeving),"€1,350",89 m²,4
Apartment Jaarsveldstraat 97,2546 CL Den Haag (Leyenburg),"€1,150",65 m²,3
Apartment Uitgeeststraat 203,2547 VE Den Haag (Leyenburg),"€1,350",82 m²,3
Apartment Voorstraat,2611 JK Delft (Centrum-West),"€1,595",70 m²,3
Apartment Laan van Meerdervoort,2563 AA Den Haag (Sweelinckplein en omgeving),€770,38 m²,2
Apartment Oortjesburg,3437 SX Nieuwegein (Burgen),"€1,025",103 m²,3
Apartment Tempeliersstraat 9 E,2012 EA Haarlem (Koninginnebuurt),€850,29 m²,1
Apartment Louis Armstronglaan,3543 EB Utrecht (Terwijde-Oost),"€1,395",51 m²,2
Apartment Maliebaan,3581 CB Utrecht (Buiten Wittevrouwen),"€1,230",35 m²,2
Apartment Westmolenstraat,3111 BS Schiedam (Walvisbuurt),"€1,995",95 m²,4
Apartment Putsebocht,3073 HH Rotterdam (Bloemhof),€895,55 m²,3
Apartment Deensestraat,3028 GJ Rotterdam (Oud Mathenesse),€765,55 m²,2
Apartment Hogewoerd 123 A 2e A,2311 HK Leiden (Levendaal-Oost),"€1,350",52 m²,2
Apartment Beresteinlaan 275,"2542 JH Den Haag (Zijden, Steden en Zichten)",€900,91 m²,3
Apartment Herenstraat,1211 CB Hilversum (Centrum),€950,30 m²,2
Apartment Kerksteeg,4201 CL Gorinchem (Benedenstad),"€1,075",50 m²,3
Apartment Sinaasappelstraat 31,2564 EM Den Haag (Vruchtenbuurt),"€1,200",80 m²,3
Room Smedenstraat,7411 RB Deventer (Centrum),€465,15 m²,1
House Zinneveltlaan 38,2082 GS Santpoort-Zuid (Blekersbuurt),"€2,449",125 m²,5
Apartment Noordeinde,2611 WT Delft (Centrum-Noord),€895,40 m²,2
Apartment Ettingstraat,4703 GL Roosendaal (Scherpdeel),€790,52 m²,2
Apartment Postelstraat,5211 DX Den Bosch (Binnenstad-Centrum),"€1,275",65 m²,3
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"€1,835",90 m²,4
Apartment Spuisteeg 3 2,1211 EH Hilversum (Centrum),€750,45 m²,2
Apartment Schieweg,3038 AJ Rotterdam (Bergpolder),"€1,650",88 m²,4
Apartment Schieweg,3038 AM Rotterdam (Bergpolder),"€1,195",60 m²,2
Apartment Aronskelkstraat,3053 XB Rotterdam (Schiebroek),"€1,750",106 m²,4
Apartment Daniël Josephus Jittastraat,5042 MS Tilburg (Westermarkt),€995,78 m²,4
Apartment Evertsweertstraat,1069 EB Amsterdam (Osdorp-Midden),"€1,500",76 m²,3
House Dokter A.M. van de Poellaan 45,2635 LA Den Hoorn (Den Hoorn),"€1,900",133 m²,6
Apartment Dr. P.J.H. Cuypersplein 1 12,1222 NC Hilversum (Johannes Geradtswegbuurt),"€1,395",85 m²,3
Apartment Driekoningenstraat,1016 AL Amsterdam (Grachtengordel-West),"€1,650",58 m²,2
Apartment Kanariestraat 58 C,2025 WC Haarlem (Meeuwenbuurt),€945,27 m²,1
Apartment Daniël Stalpertstraat 41 F+ PP,1072 XA Amsterdam (Oude Pijp),"€1,975",58 m²,2
Apartment Weerdsingel W.Z.,3513 BB Utrecht (Pijlsweerd-Zuid),"€1,450",45 m²,2
Apartment Spijkerstraat,6828 DN Arnhem (Spijkerbuurt),"€1,400",92 m²,4
House Zuider Buiten Spaarne,2012 AC Haarlem (Rozenprieel-zuid),"€1,450",47 m²,2
Apartment Willem II-straat,5038 BA Tilburg (Binnenstad Oost),€750,25 m²,1
Apartment Kemperbergerweg,6816 RR Arnhem (Schaarsbergen),€885,40 m²,2
Apartment Sausalitolaan,1031 KE Amsterdam (Noordelijke IJ-oevers West),"€1,725",67 m²,2
Apartment Parkweg,6717 HL Ede (Reehorst),€875,50 m²,2
Apartment Van Borselenstraat,6826 NL Arnhem (Presikhaaf III),€875,90 m²,4
Apartment Geleenstraat 20 C,6151 EX Munstergeleen (Munstergeleen),€760,55 m²,4
Apartment Mangrovestraat 17,5037 JH Tilburg (Notre Dame),"€1,175",66 m²,3
Apartment Breestraat,2311 CP Leiden (Pieterswijk),"€1,225",75 m²,3
Room Amer 92,5751 SV Deurne (Koolhof),€550,18 m²,1
House Willem Sijpesteijnstraat,1566 KH Assendelft (Langeheit),"€2,250",130 m²,4
Apartment Burgwal,2011 BA Haarlem (Burgwal),"€1,695",80 m²,3
House Burt Bacharachstraat,3543 DD Utrecht (Terwijde-Oost),"€2,195",128 m²,5
Apartment Anna Blamansingel 207,"1102 SW Amsterdam (Bijlmer Centrum (D,F,H))","€1,400",50 m²,2
Apartment Volderstraat,6231 LA Meerssen (Meerssen),"€1,075",100 m²,5
Apartment Gasthuisstraat,6231 JV Meerssen (Meerssen),€950,75 m²,4
Apartment Rijksweg 11 A,6247 AA Gronsveld (Gronsveld),"€1,050",51 m²,2
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"€1,800",77 m²,3
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
Apartment Doormanstraat 31 O3,7731 BN Ommen (Kern Ommen - Zeeheldenbuurt - Lodderholt),€588,47 m²,2
Studio Prinsenstraat,2316 HK Leiden (Noorderkwartier),€730,20 m²,1
Apartment Kort Rapenburg,2311 GC Leiden (Academiewijk),€795,35 m²,2
Apartment Marco Pololaan,3526 GE Utrecht (Kanaleneiland-Zuid),"€1,450",75 m²,4
Apartment Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),"€1,600",47 m²,2
Apartment Churchill-laan,1078 EW Amsterdam (Scheldebuurt),"€1,975",85 m²,3
House Archimedesweg,1098 JP Amsterdam (Middenmeer),"€2,200",90 m²,3
Apartment Staringkade,2273 RP Voorburg (Bovenveen midden),€830,40 m²,2
Apartment Vespuccistraat,1056 SJ Amsterdam (Van Galenbuurt),"€1,950",50 m²,2
Apartment Kleiweg,3051 XP Rotterdam (Hillegersberg Zuid),"€1,025",48 m²,2
Apartment Mauritsstraat,3012 CH Rotterdam (Cool),"€1,350",60 m²,3
Apartment Boterdiep 75,9712 LL Groningen (Hortusbuurt-Ebbingekwartier),"€1,050",60 m²,2
Apartment Medemblikstraat,2547 HB Den Haag (Leyenburg),"€1,050",60 m²,2
Apartment Zeepziedersdreef,6216 RC Maastricht (Belfort),€950,70 m²,3
Apartment Keizersgracht 706 A,1017 EW Amsterdam (Grachtengordel-Zuid),"€2,400",77 m²,2
Apartment Stevinstraat 146,2587 ES Den Haag (Belgisch Park),"€1,250",74 m²,3
House Van Essendijk 163,2497 WE Den Haag (Waterbuurt),"€1,950",132 m²,5
Apartment Willem Barentszstraat,"3572 PB Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,250",57 m²,2
Apartment Polenstraat,1363 BB Almere (Europakwartier west),"€1,600",58 m²,2
Apartment Heemskerkstraat,3038 VJ Rotterdam (Bergpolder),"€1,250",76 m²,4
Apartment Singel 136 C,1015 AG Amsterdam (Grachtengordel-West),"€1,975",69 m²,2
Apartment Belgiëstraat,1363 BL Almere (Europakwartier west),"€1,050",90 m²,3
Apartment Middellaan,4811 VM Breda (Schorsmolen),€975,50 m²,2
Studio Esperantostraat,2518 LJ Den Haag (Rond de Energiecentrale),€925,50 m²,1
House Noorderstraat,9989 AA Warffum (Warffum),€895,80 m²,3
Apartment Richard Holkade 41,2033 PZ Haarlem (Verzetsliedenbuurt),"€1,550",80 m²,3
Apartment Bellevuelaan 21,2012 BX Haarlem (Welgelegen),"€1,400",75 m²,2
Apartment Spaarndamseweg 82 H,2021 CB Haarlem (Patrimoniumbuurt),"€2,150",127 m²,4
Apartment Schanshoek 91,1188 LL Amstelveen (Molenbuurt),"€1,500",65 m²,2
Apartment Nieuwendijk,1012 LZ Amsterdam (Burgwallen-Nieuwe Zijde),"€1,795",55 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
Apartment Bataviastraat 8 Bis,"3531 XD Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€1,400",60 m²,3
Apartment Runmoolen 7,1181 NZ Amstelveen (Elsrijk Oost),"€2,500",103 m²,3
Apartment Laan van Kortrijk 41,7607 PS Almelo (Paradijs),€925,90 m²,4
Apartment Kerkstraat 38,1441 BM Purmerend (Binnenstad),€950,46 m²,2
Apartment Prinsestraat 50 E,2513 CE Den Haag (Kortenbos),€895,20 m²,2
Apartment Willem Barentszstraat,"3572 PJ Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,100",56 m²,2
Apartment Ridderstraat,4101 BK Culemborg (Binnenstad),€512,40 m²,2
Apartment Karperweg,1075 LA Amsterdam (Schinkelbuurt),"€3,000",120 m²,4
Apartment De Rik,3232 LA Brielle (Rugge),"€1,290",76 m²,3
