Title,Location,Price,Area m�,Number of rooms,Price/m�
Apartment Vinkenstraat,1506 CM Zaandam (Oud West),"1,250",44,2,28.4
Apartment Langenhorst,3085 HJ Rotterdam (Zuidwijk),995,70,3,14.2
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"1,750",70,3,25.0
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
Apartment Jan van Zutphenstraat,1069 RS Amsterdam (Osdorp-Midden),"2,500",110,3,22.7
Apartment Sweelincklaan,4837 BB Breda (Ruitersbos),"1,245",80,3,15.6
Apartment Stratumseind,5611 ER Eindhoven (Binnenstad),"1,095",35,2,31.3
House Renate Rubinsteinlaan 5,1187 WS Amstelveen (Schrijversbuurt),"3,750",199,5,18.8
Room Laan van Nieuw-Oost-Indië 34 A,2593 BT Den Haag (Bezuidenhout-Oost),400,24,1,16.7
Apartment Japieserf,2801 TR Gouda (Raam e.o.),"1,300",70,4,18.6
Apartment Marnixstraat,1016 TB Amsterdam (Jordaan),"2,500",95,3,26.3
House Nessenwei,8618 NM Oosthem (Verspreide huizen-Oosthem),900,230,5,3.9
Apartment Mijdrechtstraat 3,2515 SK Den Haag (Rivierenbuurt-Noord),850,50,2,17.0
Apartment Nieuwe Sint Jansstraat,9711 VH Groningen (Binnenstad-Oost),"1,195",55,2,21.7
House Housestraat,7207 RX Zutphen (Looërenk en Woud),"1,695",161,6,10.5
Studio Tollensstraat,2321 XJ Leiden (Haagweg-Noord),565,18,2,31.4
Apartment Veldmaarschalk Montgomerylaan,5612 BE Eindhoven (Gildebuurt),"1,500",55,2,27.3
Room Johan de Wittlaan,6828 WJ Arnhem (Arnhemse Broek),495,20,1,24.8
Room Johan de Wittlaan,6828 WL Arnhem (Arnhemse Broek),425,20,2,21.3
Apartment Valeriusstraat 121 H,1075 ER Amsterdam (Willemspark),"4,500",145,4,31.0
Room van Heurnstraat,5211 ZL Den Bosch (Het Zand),420,10,1,42.0
Apartment Zegenstraat,3082 XW Rotterdam (Oud Charlois),650,16,1,40.6
Room Moerkerkestraat,3081 RL Rotterdam (Tarwewijk),650,18,1,36.1
House Dammestraat,5628 NM Eindhoven (Tempel),"1,750",180,5,9.7
Apartment Beukenweg,1091 KE Amsterdam (Oosterparkbuurt),"1,800",53,2,34.0
Apartment Markt,7551 CG Hengelo (Binnenstad-Centrum),650,28,2,23.2
Apartment Nieuwstraat,7605 AG Almelo (Wonde en omgeving),650,40,1,16.3
Apartment De Wittenkade 31 R2,1052 AB Amsterdam (Staatsliedenbuurt),"1,750",65,2,26.9
House Coba Ritsemastraat,7556 JP Hengelo (Hengelose Es-Noord),"1,370",146,6,9.4
Apartment Burgemeester Leenstraat,7242 AA Lochem (Zuiderenk),695,45,2,15.4
Apartment Renswoudelaan,2546 XE Den Haag (Leyenburg),"1,395",75,3,18.6
Studio Haparandaweg,1013 BD Amsterdam (Houthavens),"1,250",32,1,39.1
Apartment Haringkade,2584 EC Den Haag (Visserijbuurt),"1,535",85,2,18.1
House Groot Hertoginnelaan,2517 EL Den Haag (Sweelinckplein en omgeving),745,28,2,26.6
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"1,275",40,2,31.9
House Bennekomstraat,2573 RG Den Haag (Oostbroek-Noord),"1,080",67,3,16.1
House Hugo de Vries-serre,3823 DM Amersfoort (Wintertuinen),"1,195",93,3,12.8
Apartment Wolphaertsbocht,3081 KM Rotterdam (Tarwewijk),940,50,2,18.8
Apartment Albert Cuypstraat,1072 CK Amsterdam (Oude Pijp),"2,100",95,3,22.1
Apartment Gelrestraat,1079 MZ Amsterdam (Scheldebuurt),"1,625",55,2,29.5
Apartment Kleine Houtstraat 122 B,2011 DS Haarlem (Heiliglanden),"1,450",60,4,24.2
Apartment Korte Bisschopstraat,7411 HK Deventer (Centrum),800,35,2,22.9
House Cerberusstraat,5243 XA Rosmalen (Hondsberg),"1,450",124,6,11.7
House Luijbenstraat,5211 BT Den Bosch (Het Zand),"1,995",160,5,12.5
Apartment Jonker Fransstraat,3031 AX Rotterdam (Rubroek),"1,800",66,3,27.3
Apartment Hudsonstraat,3025 CE Rotterdam (Bospolder),"1,495",60,2,24.9
House Zandbloem,5658 BH Eindhoven (Zandrijk),"2,100",190,6,11.1
Apartment Pancratiusstraat 9 A,6411 KB Heerlen (Heerlen-Centrum),625,45,2,13.9
Apartment Hoogstraat 37 A,9671 GR Winschoten (Winschoten-Centrum),750,60,3,12.5
Apartment Trans,"3512 JJ Utrecht (Domplein, Neude, Janskerkhof)","1,250",41,2,30.5
House Griegstraat,2901 JW Capelle aan den IJssel (Bizetbuurt),"1,450",105,4,13.8
Apartment Antonlaan,3701 VG Zeist (Carré),"1,295",58,1,22.3
Apartment Antonlaan,3701 VG Zeist (Carré),"1,295",57,1,22.7
Apartment Oude Maasstraat,6229 BC Maastricht (Heugem),725,45,2,16.1
Apartment Troelstrastraat,3038 KT Rotterdam (Bergpolder),"1,100",52,3,21.2
House Brouwersgracht,1013 HA Amsterdam (Grachtengordel-West),"2,250",82,3,27.4
Apartment Douwelerwetering,7417 TT Deventer (Deltabuurt),760,80,4,9.5
Apartment Agniesestraat 128 B,3032 TS Rotterdam (Agniesebuurt),"1,315",81,3,16.2
Apartment Oude Molstraat,2513 BB Den Haag (Kortenbos),"1,100",55,1,20.0
Apartment Oude Molstraat,2513 BB Den Haag (Kortenbos),"1,250",65,2,19.2
Apartment Vlietwijck 44,2271 EW Voorburg (Voorburg Oud noord),"1,000",72,3,13.9
Apartment François Maelsonstraat 4,2582 KC Den Haag (Statenkwartier),"2,750",124,4,22.2
Apartment Trompstraat,8023 TN Zwolle (Wipstrik-Zuid),595,34,2,17.5
House Wildertkade 1,2935 CM Ouderkerk aan den IJssel (Verspr. huizen Ouderkerk Noord),850,62,4,13.7
Apartment Kruserbrink,7772 XK Hardenberg (Overig Stad Hardenberg),375,80,3,4.7
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"1,800",77,3,23.4
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),633,30,1,21.1
Apartment Pleinweg,3081 JJ Rotterdam (Tarwewijk),"1,195",60,2,19.9
House Cornelis van Uitgeeststraat,1508 EG Zaandam (Boerejonkerbuurt),"2,895",178,5,16.3
Apartment Makassarhof,1335 HV Almere (Indischebuurt),"1,200",56,3,21.4
Apartment Frans Halsstraat 3 C,2021 EG Haarlem (Frans Halsbuurt),"1,550",70,3,22.1
Apartment Mignot en De Blockplein,5611 CG Eindhoven (Binnenstad),"1,750",92,3,19.0
Apartment Tempeliersstraat,2012 EC Haarlem (Koninginnebuurt),"1,350",45,2,30.0
Apartment Lijnmarkt,"3511 KH Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","1,225",45,2,27.2
Apartment Oudegracht,"3511 NS Utrecht (Domplein, Neude, Janskerkhof)","1,125",36,2,31.3
Room Ossenweerdstraat,7412 BJ Deventer (Lange Zandstraat),395,13,1,30.4
Apartment Nieuwe Osdorpergracht 586,1068 HV Amsterdam (Osdorp-Oost),"1,400",50,1,28.0
Apartment Van der Hoevenplein,3072 MK Rotterdam (Kop van Zuid),"2,750",100,1,27.5
Apartment Van Embdenstraat,2628 ZP Delft (Bedrijventerrein Delftech),"1,105",57,2,19.4
Studio Jan Haringstraat,3554 XV Utrecht (Geuzenwijk),725,15,1,48.3
House Wormerweg,1464 NC Westbeemster (Westbeemster),950,55,2,17.3
Apartment Glenn Millerstraat 60,2625 WM Delft (Juniusbuurt),"1,375",75,3,18.3
Apartment Piet Heinstraat 9,2628 RH Delft (TU-Noord),"1,495",101,3,14.8
Apartment Herenstraat,3512 KB Utrecht (Nieuwegracht-Oost),"2,195",120,3,18.3
Apartment Achter St.-Pieter,"3512 HP Utrecht (Domplein, Neude, Janskerkhof)","1,150",45,2,25.6
Room Vaartweg 139 5,1217 SN Hilversum (Boomberg),705,40,2,17.6
Apartment Gedempte Zalmhaven,3011 BT Rotterdam (Stadsdriehoek),"1,995",117,5,17.1
Apartment Emmastraat,4811 AE Breda (Station),"1,249",65,2,19.2
Apartment Burgersdijkstraat 46,2522 WE Den Haag (Laakkwartier-Oost),"1,007",72,3,14.0
Apartment Joris Ivenslaan,1325 LZ Almere (Filmwijk),"1,395",78,2,17.9
House Plantijndomein,6229 GG Maastricht (Randwyck),"1,150",115,4,10.0
Apartment Oudegracht,3511 NK Utrecht (Springweg en omgeving Geertebuurt),"1,775",90,3,19.7
House Basilicumweg,1314 KA Almere (Kruidenwijk),"1,450",95,4,15.3
Apartment Spinnewiel,1251 DA Laren (Laren-Centrum),"1,595",60,2,26.6
Apartment Brinkweg,1211 RP Hilversum (Centrum),"1,200",67,2,17.9
House Wijdaustraat,4337 VG Middelburg (Dauwendaele I),"1,295",112,5,11.6
Studio Catharijnesteeg 7,3841 AP Harderwijk (Binnenstad-Zuid),"1,025",36,1,28.5
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"1,835",90,4,20.4
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Marijkestraat,2202 TW Noordwijk (Prinsessenbuurt),725,43,3,16.9
Apartment Mary van der Sluisstraat 284 *,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,750",88,3,31.3
House Binnenpad,8355 BP Giethoorn (Giethoorn-Zuid),"1,495",90,4,16.6
Apartment Mijnsherenlaan 145 C,3081 GK Rotterdam (Tarwewijk),895,72,4,12.4
House Helsinkipad,3067 RP Rotterdam (Oosterflank),"1,450",120,5,12.1
Apartment Nieuwe Uitleg,2514 BP Den Haag (Voorhout),"2,000",120,3,16.7
Apartment Stoeldraaierstraat,9712 BW Groningen (Binnenstad-Noord),827,55,1,15.0
Apartment Duindoornstraat,9741 NM Groningen (Selwerd),950,61,3,15.6
Apartment Willem Hubertstraat,5213 SV Den Bosch (De Hinthamerpoort),"1,070",55,2,19.5
Apartment Raadhuisstraat,4701 PN Roosendaal (Centrum-Oud),800,45,2,17.8
Apartment Rivium 1e straat,2909 LE Capelle aan den IJssel (Rivium 1e straat),799,48,2,16.6
Apartment Rivium 1e straat,2909 LE Capelle aan den IJssel (Rivium 1e straat),737,38,1,19.4
Apartment Galvanistraat,3029 AD Rotterdam (Nieuw Mathenesse),"1,675",127,4,13.2
Apartment Oostendamstraat 163 A,3073 NG Rotterdam (Bloemhof),"1,500",120,3,12.5
House Krabsteeg,4201 ES Gorinchem (Benedenstad),"1,750",98,3,17.9
House Vlaardingerdijk 325 A,3117 ET Schiedam (Schildersbuurt),"1,450",100,4,14.5
Apartment Dirigentplein,5642 RK Eindhoven (Tongelresche Akkers),"1,295",60,2,21.6
Apartment Houtlaan,6525 ZA Nijmegen (Brakkenstein),"1,100",59,2,18.6
House Comopad,5632 RX Eindhoven (Heesterakker),"1,795",126,5,14.2
Studio Driebergenstraat,2546 BA Den Haag (Leyenburg),895,30,1,29.8
Apartment 't Landje 20,1674 PV Opperdoes (Opperdoes Centrum),"1,050",54,3,19.4
Apartment 't Landje 30,1674 PV Opperdoes (Opperdoes Centrum),"1,050",54,3,19.4
Apartment 't Landje 36,1674 PV Opperdoes (Opperdoes Centrum),900,54,2,16.7
Apartment 't Landje 56,1674 PV Opperdoes (Opperdoes Centrum),900,42,2,21.4
Apartment Ariaplein,3816 EH Amersfoort (Schuilenburg-Noord),950,62,2,15.3
Apartment Amsterdamseweg,6814 GA Arnhem (Burgemeesterswijk),560,23,1,24.3
Apartment Prins Hendrikstraat,5611 HL Eindhoven (Bergen),"1,345",70,2,19.2
Apartment A.H.G. Fokkerstraat 52,3555 BE Utrecht (Prins Bernhardplein en omgeving),985,45,2,21.9
Apartment Zamenhofdreef 12 A,3562 JW Utrecht (Zamenhofdreef en omgeving),895,45,2,19.9
Studio Pijnboomstraat,5038 HG Tilburg (Bomenbuurt Midden),645,26,1,24.8
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),633,30,1,21.1
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"1,553",95,4,16.3
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"1,478",98,4,15.1
Apartment Charley Tooropgracht,1112 ZJ Diemen (Holland Park),"1,690",116,5,14.6
Apartment Martinus Nijhoffweg,2548 ER Den Haag (Erasmus Veld),975,42,2,23.2
Apartment Nieuwe Hescheweg,5342 EA Oss (Oranjebuurt I en Ruivert),795,71,3,11.2
Apartment Withuysstraat 84,2523 GZ Den Haag (Laakkwartier-West),"1,550",92,4,16.8
Apartment Graaf Balderikstraat,3032 HC Rotterdam (Oude Noorden),"1,650",83,3,19.9
Apartment Hendrik Mandestraat,2531 TV Den Haag (Moerwijk-Noord),"1,075",70,4,15.4
House Klepstraat,2516 XB Den Haag (Noordpolderbuurt),"1,075",70,4,15.4
Apartment Wenckebachstraat,2522 CH Den Haag (Noordpolderbuurt),700,45,1,15.6
House Bellendonkplein,7411 ZT Deventer (Knutteldorp),"1,395",120,5,11.6
House Geert Grootelaan,7607 NR Almelo (Hofkamp Oost),"1,050",110,3,9.5
Apartment Kranenburgweg 110,2583 EP Den Haag (Vissershaven),"1,295",74,3,17.5
Apartment Stratumsedijk,5611 NA Eindhoven (Binnenstad),"1,550",87,3,17.8
Apartment Jan Luikenstraat,5615 JM Eindhoven (Schrijversbuurt),"2,500",146,5,17.1
Apartment Langestraat,5038 SB Tilburg (Binnenstad West),895,37,2,24.2
Apartment Raadhuisstraat,2406 AH Alphen aan den Rijn (Van Boetzelaerstraat),910,56,2,16.3
Apartment Overrijn,2315 KA Leiden (De Waard),"1,300",55,2,23.6
Studio Plakstraat,6131 HT Sittard (Sittard-Centrum),710,32,1,22.2
Apartment Henri Polaklaan,1018 CP Amsterdam (Weesperbuurt/Plantage),"2,150",65,3,33.1
Apartment Lasserstraat,2321 PR Leiden (Haagweg-Zuid),"1,395",95,4,14.7
Apartment 2e Schuytstraat,2517 XD Den Haag (Sweelinckplein en omgeving),"1,100",40,2,27.5
Apartment Van Diemenstraat,2518 VG Den Haag (Zeeheldenkwartier),"1,300",60,3,21.7
Apartment Breestraat 123 B,2311 CM Leiden (Pieterswijk),"1,750",123,2,14.2
Apartment Tiengemeten,1181 CT Amstelveen (Randwijck Oost),"1,749",85,3,20.6
Apartment Frederiksplein 40 B,1017 XN Amsterdam (De Weteringschans),"3,400",125,3,27.2
Apartment Korte Noordstraat,4331 CG Middelburg (Stadhuis),650,35,1,18.6
Apartment Oude Kerkstraat,6412 XJ Heerlen (Schandelen),725,85,5,8.5
Apartment Wilhelminastraat 8 y,5141 HK Waalwijk (Centrum),740,47,2,15.7
Apartment Hereweg 28 a,9725 AD Groningen (Herewegbuurt),"1,500",97,3,15.5
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"1,800",77,3,23.4
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"1,750",80,2,21.9
Apartment Engelandlaan,2034 HH Haarlem (Stedenbuurt-west),"1,195",85,3,14.1
Apartment Oude Boomgaardstraat 5,2513 TN Den Haag (Kortenbos),"1,250",71,3,17.6
Apartment Maassluisstraat,1062 GS Amsterdam (Westlandgracht),"1,550",42,1,36.9
Apartment Belvédèrebos,2715 VL Zoetermeer (Meerzicht-Oost),"1,325",90,3,14.7
Apartment Oudedijk,3061 AN Rotterdam (Kralingen West),"1,195",55,2,21.7
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),725,30,1,24.2
Studio Strobloemstraat,5643 JW Eindhoven (Kruidenbuurt),795,35,2,22.7
Apartment Watervlierstraat 39,2563 PV Den Haag (Heesterbuurt),"1,295",66,3,19.6
Apartment Abdijtuinen,5504 EW Veldhoven (D'Ekker),"1,850",149,4,12.4
Apartment Stationsplein 48,2312 AK Leiden (Stationskwartier),"1,150",78,3,14.7
Apartment Lombardkade,3031 AG Rotterdam (Rubroek),"1,495",79,3,18.9
House Dadelstraat,3572 TE Utrecht (Wittevrouwen),"1,695",68,3,24.9
Apartment Seffenterstraat,6291 GB Vaals (Vaals),760,80,3,9.5
Studio Rabenhauptstraat 24,9725 CD Groningen (Rivierenbuurt),615,30,1,20.5
House Barmsijs,3435 BP Nieuwegein (Doorslag-Oost),"1,650",116,5,14.2
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),265,15,1,17.7
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),285,18,1,15.8
Room Gasthuisstraat,6411 KD Heerlen (Heerlen-Centrum),240,12,1,20.0
Apartment Krugerstraat 11 B,3531 AL Utrecht (Leidseweg en omgeving),"2,095",136,4,15.4
Apartment Vondelstraat 78,7002 AS Doetinchem (Schrijvers en dichtersbuurt),"1,200",70,3,17.1
Apartment Endepoel 2 c,6852 LG Huissen (Zilverkamp),"1,095",75,3,14.6
House Nicolaas Beetsstraat,8862 WK Harlingen (Oosterpark),900,121,4,7.4
House Nelson Mandelastraat,7557 XG Hengelo ('t Rot),"1,030",118,5,8.7
Apartment Sir Winston Churchillln 283 F36,2288 DA Rijswijk (Plaspoelpolder),"2,200",210,4,10.5
Apartment Valkenboskade 530,2563 JM Den Haag (Bloemenbuurt-Oost),"1,750",104,4,16.8
Apartment Langenhorst,3085 HE Rotterdam (Zuidwijk),"1,475",70,3,21.1
House 't Buske,5071 VS Udenhout (Zeshoeven),"1,100",104,5,10.6
Apartment Europalaan 104,7543 DH Enschede (Boswinkel-De Braker),995,65,3,15.3
Room Espoortstraat 163 Kamer C,7511 CJ Enschede (De Bothoven),450,15,1,30.0
Apartment Mandelborg,6228 CP Maastricht (De Heeg),975,91,3,10.7
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"1,750",80,2,21.9
Apartment Franklinstraat 171 A,2562 CD Den Haag (Koningsplein en omgeving),"1,350",89,4,15.2
Apartment Jaarsveldstraat 97,2546 CL Den Haag (Leyenburg),"1,150",65,3,17.7
Apartment Uitgeeststraat 203,2547 VE Den Haag (Leyenburg),"1,350",82,3,16.5
Apartment Voorstraat,2611 JK Delft (Centrum-West),"1,595",70,3,22.8
Apartment Laan van Meerdervoort,2563 AA Den Haag (Sweelinckplein en omgeving),770,38,2,20.3
Apartment Oortjesburg,3437 SX Nieuwegein (Burgen),"1,025",103,3,10.0
Apartment Tempeliersstraat 9 E,2012 EA Haarlem (Koninginnebuurt),850,29,1,29.3
Apartment Louis Armstronglaan,3543 EB Utrecht (Terwijde-Oost),"1,395",51,2,27.4
Apartment Maliebaan,3581 CB Utrecht (Buiten Wittevrouwen),"1,230",35,2,35.1
Apartment Westmolenstraat,3111 BS Schiedam (Walvisbuurt),"1,995",95,4,21.0
Apartment Putsebocht,3073 HH Rotterdam (Bloemhof),895,55,3,16.3
Apartment Deensestraat,3028 GJ Rotterdam (Oud Mathenesse),765,55,2,13.9
Apartment Hogewoerd 123 A 2e A,2311 HK Leiden (Levendaal-Oost),"1,350",52,2,26.0
Apartment Beresteinlaan 275,"2542 JH Den Haag (Zijden, Steden en Zichten)",900,91,3,9.9
Apartment Herenstraat,1211 CB Hilversum (Centrum),950,30,2,31.7
Apartment Kerksteeg,4201 CL Gorinchem (Benedenstad),"1,075",50,3,21.5
Apartment Sinaasappelstraat 31,2564 EM Den Haag (Vruchtenbuurt),"1,200",80,3,15.0
Room Smedenstraat,7411 RB Deventer (Centrum),465,15,1,31.0
House Zinneveltlaan 38,2082 GS Santpoort-Zuid (Blekersbuurt),"2,449",125,5,19.6
Apartment Noordeinde,2611 WT Delft (Centrum-Noord),895,40,2,22.4
Apartment Ettingstraat,4703 GL Roosendaal (Scherpdeel),790,52,2,15.2
Apartment Postelstraat,5211 DX Den Bosch (Binnenstad-Centrum),"1,275",65,3,19.6
Apartment Spuisteeg 3 2,1211 EH Hilversum (Centrum),750,45,2,16.7
Apartment Schieweg,3038 AJ Rotterdam (Bergpolder),"1,650",88,4,18.8
Apartment Schieweg,3038 AM Rotterdam (Bergpolder),"1,195",60,2,19.9
Apartment Aronskelkstraat,3053 XB Rotterdam (Schiebroek),"1,750",106,4,16.5
Apartment Daniël Josephus Jittastraat,5042 MS Tilburg (Westermarkt),995,78,4,12.8
Apartment Evertsweertstraat,1069 EB Amsterdam (Osdorp-Midden),"1,500",76,3,19.7
House Dokter A.M. van de Poellaan 45,2635 LA Den Hoorn (Den Hoorn),"1,900",133,6,14.3
Apartment Dr. P.J.H. Cuypersplein 1 12,1222 NC Hilversum (Johannes Geradtswegbuurt),"1,395",85,3,16.4
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
Apartment Driekoningenstraat,1016 AL Amsterdam (Grachtengordel-West),"1,650",58,2,28.4
Apartment Kanariestraat 58 C,2025 WC Haarlem (Meeuwenbuurt),945,27,1,35.0
Apartment Daniël Stalpertstraat 41 F+ PP,1072 XA Amsterdam (Oude Pijp),"1,975",58,2,34.1
Apartment Weerdsingel W.Z.,3513 BB Utrecht (Pijlsweerd-Zuid),"1,450",45,2,32.2
Apartment Spijkerstraat,6828 DN Arnhem (Spijkerbuurt),"1,400",92,4,15.2
House Zuider Buiten Spaarne,2012 AC Haarlem (Rozenprieel-zuid),"1,450",47,2,30.9
Apartment Willem II-straat,5038 BA Tilburg (Binnenstad Oost),750,25,1,30.0
Apartment Kemperbergerweg,6816 RR Arnhem (Schaarsbergen),885,40,2,22.1
Apartment Sausalitolaan,1031 KE Amsterdam (Noordelijke IJ-oevers West),"1,725",67,2,25.7
Apartment Parkweg,6717 HL Ede (Reehorst),875,50,2,17.5
Apartment Van Borselenstraat,6826 NL Arnhem (Presikhaaf III),875,90,4,9.7
Apartment Geleenstraat 20 C,6151 EX Munstergeleen (Munstergeleen),760,55,4,13.8
Apartment Mangrovestraat 17,5037 JH Tilburg (Notre Dame),"1,175",66,3,17.8
Apartment Breestraat,2311 CP Leiden (Pieterswijk),"1,225",75,3,16.3
Room Amer 92,5751 SV Deurne (Koolhof),550,18,1,30.6
House Willem Sijpesteijnstraat,1566 KH Assendelft (Langeheit),"2,250",130,4,17.3
Apartment Burgwal,2011 BA Haarlem (Burgwal),"1,695",80,3,21.2
House Burt Bacharachstraat,3543 DD Utrecht (Terwijde-Oost),"2,195",128,5,17.1
Apartment Anna Blamansingel 207,"1102 SW Amsterdam (Bijlmer Centrum (D,F,H))","1,400",50,2,28.0
Apartment Volderstraat,6231 LA Meerssen (Meerssen),"1,075",100,5,10.8
Apartment Gasthuisstraat,6231 JV Meerssen (Meerssen),950,75,4,12.7
Apartment Rijksweg 11 A,6247 AA Gronsveld (Gronsveld),"1,075",51,2,21.1
Apartment Doormanstraat 31 O3,7731 BN Ommen (Kern Ommen - Zeeheldenbuurt - Lodderholt),588,47,2,12.5
Studio Prinsenstraat,2316 HK Leiden (Noorderkwartier),730,20,1,36.5
Apartment Kort Rapenburg,2311 GC Leiden (Academiewijk),795,35,2,22.7
Apartment Marco Pololaan,3526 GE Utrecht (Kanaleneiland-Zuid),"1,450",75,4,19.3
Apartment Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),"1,600",47,2,34.0
Apartment Churchill-laan,1078 EW Amsterdam (Scheldebuurt),"1,975",85,3,23.2
House Archimedesweg,1098 JP Amsterdam (Middenmeer),"2,200",90,3,24.4
Apartment Staringkade,2273 RP Voorburg (Bovenveen midden),830,40,2,20.8
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"1,750",80,2,21.9
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"1,835",90,4,20.4
Apartment Vespuccistraat,1056 SJ Amsterdam (Van Galenbuurt),"1,950",50,2,39.0
Apartment Kleiweg,3051 XP Rotterdam (Hillegersberg Zuid),"1,025",48,2,21.4
Apartment Mauritsstraat,3012 CH Rotterdam (Cool),"1,350",60,3,22.5
Apartment Boterdiep 75,9712 LL Groningen (Hortusbuurt-Ebbingekwartier),"1,050",60,2,17.5
Apartment Medemblikstraat,2547 HB Den Haag (Leyenburg),"1,050",60,2,17.5
Apartment Zeepziedersdreef,6216 RC Maastricht (Belfort),950,70,3,13.6
Apartment Keizersgracht 706 A,1017 EW Amsterdam (Grachtengordel-Zuid),"2,400",77,2,31.2
Apartment Stevinstraat 146,2587 ES Den Haag (Belgisch Park),"1,250",74,3,16.9
House Van Essendijk 163,2497 WE Den Haag (Waterbuurt),"1,950",132,5,14.8
